year,industry_code,classification,Employment (in 1000s),Members (in 1000s),Covered (in 1000s),% Mem,% Cov
2003,92,NAICS,6249.456616166691,2006.1469824499973,2243.424335408333,0.32101142406463623,0.35897910594940186
2003,31-33,NAICS,16202.318447400008,2192.117484908335,2337.4293471416686,13.5296531297353,14.426511580611209
2003,44-45,NAICS,14534.60927025827,939.4758522999988,1007.1636434083322,0.06463716179132462,0.06929416954517365
2003,48-49,NAICS,5256.800128299991,1799.7090227833326,1908.8666512666648,0.342358261346817,0.3631232976913452
2004,11,NAICS,1093.8981154833323,29.864868949999988,39.576560675,0.027301326394081116,0.03617938607931137
2004,21,NAICS,497.14316624166673,56.51390013333335,58.020717116666674,0.11367731541395187,0.11670826375484467
2004,22,NAICS,9225.022950808318,1618.6820163916682,1709.5587436750009,0.17546644806861877,0.18531756103038788
2004,23,NAICS,8051.401789575,1273.3595829666665,1347.0643693333343,0.15815377235412598,0.167308047413826
2004,42,NAICS,4094.6023805583386,190.45973021666666,216.13498648333336,0.04651482775807381,0.05278534069657326
2004,51,NAICS,3234.4420981583394,461.6618258833336,504.9782016166669,0.14273306727409363,0.1561252921819687
2004,52,NAICS,6437.235150949989,126.98892179999997,160.7505622666666,0.019727246835827827,0.024971988052129745
2004,53,NAICS,2276.9004388999965,102.16031024166668,114.31017649166671,0.04486814886331558,0.05020429193973541
2004,54,NAICS,6439.131457358345,96.00190579166663,135.74728219999994,0.014909138903021812,0.02108161337673664
2004,55,NAICS,4716.926484425001,221.3023072666668,253.01635815000017,0.04691663384437561,0.05364008992910385
2004,61,NAICS,11785.038346258472,3922.343973691653,4434.093077349993,0.3328240215778351,0.3762476444244385
2004,62,NAICS,15253.630675300052,1438.8759920083326,1630.8513956083327,9.433006624044467,10.691562096420382
2004,71,NAICS,2163.1080318750005,161.05568505000002,173.63543054166666,0.07445568591356277,0.08027127385139465
2004,72,NAICS,8603.799307599986,212.48216405,254.26049372499986,0.024696318432688713,0.029552118852734566
2004,81,NAICS,5590.319262325011,166.35720832499996,192.08790043333335,0.029758086428046227,0.03436081111431122
2004,92,NAICS,6358.430712166676,2031.976104499997,2260.152239908333,0.31957194209098816,0.3554575443267822
2004,31-33,NAICS,15810.203345300077,2052.179756008334,2204.463583875001,12.980097163762217,13.943296842733686
2004,44-45,NAICS,14752.631695533299,850.5797352666661,905.9333324416662,0.05765613541007042,0.06140825152397156
2004,48-49,NAICS,5221.4159782833285,1732.1180058249968,1839.7353504499968,0.331733375787735,0.3523441553115845
2005,11,NAICS,1076.0238203833328,34.577493116666666,38.37816373333334,0.03213450685143471,0.03566664829850197
2005,21,NAICS,603.4768969916663,47.846958683333334,57.26160915833334,0.07928548753261566,0.0948861688375473
2005,22,NAICS,9691.293607608324,1548.7487010416698,1642.935346900003,0.15980824828147888,0.16952693462371826
2005,23,NAICS,8512.869187508339,1209.2028599916684,1280.6738105583354,0.1420440971851349,0.15043973922729492
