year,industry_code,code_source,inspection_count,violation_count,accident_count,avg_penalty,avg_gravity,avg_injury_degree
2008,23,NAICS,52800,105398.0,1801.0,1012.0005759999999,4.650704266130083,1.671848972792893
2008,31-33,NAICS,19649,78534.0,1114.0,1148.5054120363689,3.193785880187563,1.8375224416517055
2008,42,NAICS,3048,9947.0,212.0,875.7979244910061,3.049595805112519,1.8018867924528301
2008,44-45,NAICS,3610,8544.0,180.0,940.3571669952125,2.61212496133622,1.9333333333333333
2008,48-49,NAICS,3360,7400.0,276.0,1156.8814815932406,2.8918983700862895,1.5942028985507246
2008,51,NAICS,486,715.0,41.0,1032.1169590643274,2.7529411764705882,1.6829268292682926
2008,52,NAICS,142,175.0,1.0,698.5066666666667,2.6307692307692307,2.0
2008,53,NAICS,783,1702.0,56.0,991.0343230403801,3.668174962292609,1.7321428571428572
2008,54,NAICS,835,1513.0,49.0,1256.5066248256626,3.6694510739856803,1.530612244897959
2008,55,NAICS,18,14.0,1.0,247.5,,2.0
2008,56,NAICS,3921,8369.0,345.0,1166.0598892405064,4.411546773695585,1.5826086956521739
2008,61,NAICS,1394,3189.0,68.0,1037.1895582329316,2.3842010771992816,1.8088235294117647
2008,62,NAICS,2460,5886.0,54.0,938.2385067437378,2.1849575651155986,2.0555555555555554
2008,71,NAICS,624,2115.0,62.0,900.4159388646289,3.0467762326169407,1.7903225806451613
2008,72,NAICS,1748,4073.0,78.0,617.2465254722381,2.7250996015936253,2.141025641025641
2008,81,NAICS,2589,9241.0,124.0,592.2183675852405,2.9612590799031477,1.7096774193548387
2008,92,NAICS,3689,7543.0,169.0,771.0538883888389,2.527437641723356,1.8520710059171597
2009,11,NAICS,3115,5822.0,265.0,867.0813884068032,3.88715953307393,1.7132075471698114
2009,21,NAICS,896,1519.0,69.0,1227.0674674674674,3.6785063752276868,1.5942028985507246
2009,22,NAICS,1267,3235.0,65.0,1618.6219951923076,4.522556390977444,1.7692307692307692
2009,23,NAICS,53596,102993.0,1250.0,977.3479476070373,4.743558063027525,1.5984
