INDUSTRY_CODE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,YEAR,INDUSTRY_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,EMP_PRSE,PCT_TOTAL,PCT_RPT,MEAN_PRSE,H_PCT10,H_PCT25,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_PCT75,A_PCT90,ANNUAL,HOURLY,year,OWNERSHIP
71,1923380.0,14.58,30320.0,10.63,22110.0,2007,"Arts, Entertainment, and Recreation",00-0000,Industry Total,,0.6,100.00,100,0.4,7.02,8.01,16.36,26.08,14600.0,16670.0,34040.0,54250.0,,,,
72,11341810.0,9.87,20540.0,8.28,17220.0,2007,Accommodation and Food Service,00-0000,Industry Total,,0.1,100.00,100,0.2,6.51,7.16,10.77,14.98,13530.0,14900.0,22390.0,31160.0,,,,
81,3881410.0,15.78,32820.0,12.41,25810.0,2007,Other Services (except Public Administration),00-0000,Industry Total,,0.2,100.00,100,0.3,7.32,8.79,18.78,28.08,15230.0,18290.0,39060.0,58410.0,,,,
92,9533390.0,23.0,47840.0,20.22,42050.0,2007,Public Administration,00-0000,Industry Total,,0.3,100.00,100,0.3,10.38,14.29,28.92,39.47,21590.0,29730.0,60150.0,82100.0,,,,
11,371180.0,12.34,25680.0,9.36,19460.0,2011,"Agriculture, Forestry, Fishing and Hunting",00-0000,Industry Total,total,0.7,100,100,0.7,8.29,8.7,13.4,19.74,17240.0,18090.0,27870.0,41050.0,,,,Private
21,693400.0,27.81,57840.0,22.16,46100.0,2011,"Mining, Quarrying, and Oil and Gas Extraction",00-0000,Industry Total,total,0.9,100,100,1.1,12.37,16.16,31.82,49.55,25720.0,33610.0,66180.0,103060.0,,,,Private
22,551690.0,31.23,64950.0,30.1,62610.0,2011,Utilities,00-0000,Industry Total,total,1.3,100,100,0.6,15.04,21.26,38.5,48.07,31290.0,44220.0,80080.0,99980.0,,,,Private
23,5543800.0,23.27,48390.0,19.56,40690.0,2011,Construction,00-0000,Industry Total,total,0.2,100,100,0.2,10.98,14.33,28.58,39.61,22830.0,29810.0,59450.0,82390.0,,,,Private
31-33,11606530.0,22.41,46620.0,17.78,36980.0,2011,Manufacturing,00-0000,Industry Total,total,0.3,100,100,0.4,9.92,12.84,26.69,40.97,20630.0,26710.0,55520.0,85220.0,,,,Private
42,5538220.0,24.7,51380.0,18.61,38710.0,2011,Wholesale Trade,00-0000,Industry Total,total,0.2,100,100,0.3,9.84,13.06,29.04,46.14,20460.0,27170.0,60400.0,95970.0,,,,Private
44-45,14773220.0,14.15,29430.0,10.88,22620.0,2011,Retail Trade,00-0000,Industry Total,total,0.1,100,100,0.2,8.06,8.87,15.5,22.93,16770.0,18440.0,32240.0,47700.0,,,,Private
48-49,4925020.0,21.21,44110.0,19.31,40170.0,2011,Transportation and Warehousing,00-0000,Industry Total,total,0.5,100,100,0.4,10.33,13.61,25.97,32.92,21480.0,28310.0,54030.0,68470.0,,,,Private and U.S. Postal Service
51,2686220.0,30.14,62690.0,24.93,51850.0,2011,Information,00-0000,Industry Total,total,0.7,100,100,1.1,10.21,15.27,38.23,55.98,21230.0,31760.0,79520.0,116440.0,,,,Private
52,5488540.0,28.92,60150.0,21.35,44420.0,2011,Finance and Insurance,00-0000,Industry Total,total,0.4,100,100,0.4,11.25,14.6,34.73,55.25,23410.0,30370.0,72240.0,114910.0,,,,Private
53,1908910.0,19.85,41290.0,15.3,31830.0,2011,Real Estate and Rental and Leasing,00-0000,Industry Total,total,0.3,100,100,0.4,8.84,10.97,22.27,34.73,18390.0,22810.0,46310.0,72230.0,,,,Private
54,7546400.0,34.43,71610.0,27.87,57980.0,2011,"Professional, Scientific, and Technical Services",00-0000,Industry Total,total,0.3,100,100,0.2,11.97,17.45,43.85,65.34,24900.0,36300.0,91210.0,135900.0,,,,Private
55,1905510.0,34.45,71650.0,27.84,57900.0,2011,Management of Companies and Enterprises,00-0000,Industry Total,total,0.6,100,100,0.5,12.89,18.03,43.45,63.96,26810.0,37490.0,90370.0,133030.0,,,,Private
56,7724320.0,16.63,34580.0,12.8,26620.0,2011,Administrative and Support and Waste Management and Remediation Services,00-0000,Industry Total,total,0.3,100,100,0.3,8.39,9.57,18.58,29.07,17440.0,19910.0,38640.0,60470.0,,,,Private
61,12747270.0,23.97,49860.0,21.03,43750.0,2011,Educational Services,00-0000,Industry Total,total,0.4,100,100,0.4,9.73,13.94,29.93,41.56,20240.0,28990.0,62260.0,86450.0,,,,"Private, state, and local government"
62,17428210.0,22.86,47550.0,16.73,34790.0,2011,Health Care and Social Assistance,00-0000,Industry Total,total,0.3,100,100,0.2,9.05,11.36,27.47,41.34,18820.0,23630.0,57140.0,85980.0,,,,"Private, and state and local hospitals"
71,1893350.0,15.91,33090.0,11.29,23480.0,2011,"Arts, Entertainment, and Recreation",00-0000,Industry Total,total,0.5,100,100,0.4,8.08,8.88,17.72,28.29,16800.0,18480.0,36870.0,58840.0,,,,Private 
72,11328290.0,10.93,22730.0,9.14,19010.0,2011,Accommodation and Food Services,00-0000,Industry Total,total,0.1,100,100,0.2,7.82,8.39,11.42,16.39,16260.0,17460.0,23760.0,34100.0,,,,Private 
81,3756780.0,17.38,36140.0,13.38,27830.0,2011,"Other Services (except Federal, State, and Local Government)",00-0000,Industry Total,total,0.2,100,100,0.3,8.32,9.37,20.67,31.09,17310.0,19490.0,42990.0,64660.0,,,,Private 
92,9861710.0,25.76,53580.0,22.37,46520.0,2011,"Federal, State, and Local Government (excluding state and local schools and hospitals)",00-0000,Industry Total,total,0.2,100,100,0.2,11.24,15.71,32.45,44.64,23380.0,32680.0,67500.0,92850.0,,,,"Federal, state, and local government"
11,380670.0,10.35923319410513,21546.01229411301,8.623880526440223,17931.99464102766,2002,,,,,,,,,,,,,,,,,,,,
